TripID,CustomerID,DriverID,VehicleID,TotalFuelConsumption,AxleWeightAverage,TotalDistance,AltitiudeUp_dmperkm,AltitudeDown_dmperkm,Altitude_sum_dmperkm
14256496,Customer0,Driver6,Vehicle28,61.5,8680,188.86,80.90649158,85.19538282,166.1018744
14256497,Customer0,Driver3,Vehicle30,0.5,11354,0.205,1268.292683,487.804878,1756.097561
14256502,Customer0,Driver3,Vehicle30,63,12556,189.5,52.823219,56.67546174,109.4986807
14256507,Customer0,Driver3,Vehicle30,0,11401,0.105,476.1904762,95.23809524,571.4285714
14256531,Customer1,Driver2,Vehicle0,29.5,6503,104.45,143.0349449,141.3116324,284.3465773
14256546,Customer1,Driver2,Vehicle0,35,10198,118.67,94.88497514,103.0589028,197.943878
14256556,Customer1,Driver2,Vehicle0,0.5,12804,0.535,523.364486,429.9065421,953.271028
14256557,Customer1,Driver2,Vehicle0,2,8317,2.98,379.1946309,412.7516779,791.9463087
14256558,Customer1,Driver2,Vehicle0,35,6995,136.925,109.3299251,102.6839511,212.0138762
14256561,Customer1,Driver2,Vehicle0,1.5,8133,1.325,430.1886792,588.6792453,1018.867925
14256563,Customer1,Driver2,Vehicle0,23.5,8133,86.995,87.93608828,88.39588482,176.3319731
14256568,Customer1,Driver2,Vehicle0,18.5,8097,68.41,88.72971788,85.36763631,174.0973542
14256571,Customer1,Driver2,Vehicle0,6.5,9080,18.965,132.8763512,141.3129449,274.1892961
14256645,Customer6,Driver45,Vehicle8,58.5,0,239.455,85.77812115,85.94516715,171.7232883
14256680,Customer6,Driver45,Vehicle8,6,0,18.515,149.6084256,164.7312989,314.3397245
14256691,Customer6,Driver45,Vehicle8,14.5,0,51.87,139.3869289,155.9668402,295.353769
14256711,Customer6,Driver45,Vehicle8,75.5,0,297.11,84.85072869,88.99060954,173.8413382
14256724,Customer6,Driver94,Vehicle9,0.5,0,0.505,455.4455446,435.6435644,891.0891089
14256740,Customer6,Driver94,Vehicle9,0,0,0.205,780.4878049,48.7804878,829.2682927
14256829,Customer6,Driver66,Vehicle11,36.5,0,155.02,88.95626371,85.92439685,174.8806606
14256833,Customer6,Driver122,Vehicle14,1,0,0.72,708.3333333,583.3333333,1291.666667
14256836,Customer6,Driver122,Vehicle14,4.5,0,15.65,99.68051118,105.4313099,205.1118211
14256840,Customer6,Driver122,Vehicle14,0,0,0.265,188.6792453,377.3584906,566.0377358
14256845,Customer6,Driver68,Vehicle12,11.5,0,48.9,116.9734151,112.4744376,229.4478528
14256850,Customer6,Driver59,Vehicle3,0,4151,0.22,1500,363.6363636,1863.636364
14256851,Customer6,Driver59,Vehicle3,14,4359,44.845,120.6377523,135.8010927,256.4388449
14256855,Customer6,Driver68,Vehicle12,30.5,0,131.16,87.37419945,95.68465996,183.0588594
14256860,Customer6,Driver122,Vehicle14,0,0,0.21,380.952381,476.1904762,857.1428571
14256862,Customer6,Driver122,Vehicle14,8,0,30.23,105.1935164,110.1554747,215.3489911
14256863,Customer6,Driver66,Vehicle11,1,0,1.365,615.3846154,615.3846154,1230.769231
14256867,Customer6,Driver59,Vehicle3,0.5,4238,0.385,1064.935065,831.1688312,1896.103896
14256874,Customer6,Driver69,Vehicle4,14,12056,35.265,89.60725932,81.95094286,171.5582022
14256876,Customer6,Driver66,Vehicle11,27.5,0,125.165,106.2597371,105.7004754,211.9602125
14256880,Customer6,Driver59,Vehicle3,0.5,13094,0.335,776.119403,716.4179104,1492.537313
14256883,Customer6,Driver59,Vehicle3,0.5,13016,0.39,820.5128205,461.5384615,1282.051282
14256887,Customer6,Driver59,Vehicle3,17.5,12871,37.31,144.4652908,140.7129456,285.1782364
14256889,Customer6,Driver122,Vehicle14,0.5,0,0.23,652.173913,260.8695652,913.0434783
14256890,Customer6,Driver69,Vehicle4,0.5,15095,1.075,362.7906977,306.9767442,669.7674419
14256899,Customer6,Driver69,Vehicle4,9,14868,20.25,102.2222222,106.6666667,208.8888889
14256900,Customer6,Driver68,Vehicle12,1,0,1.265,584.9802372,679.8418972,1264.822134
14256906,Customer6,Driver59,Vehicle3,0,13054,0.05,3000,1600,4600
14256908,Customer6,Driver59,Vehicle3,10.5,4514,36.2,104.1436464,112.7071823,216.8508287
14256909,Customer6,Driver69,Vehicle4,0,14923,0.085,941.1764706,117.6470588,1058.823529
14256914,Customer6,Driver68,Vehicle12,0,0,0.16,625,875,1500
14256915,Customer6,Driver69,Vehicle4,0.5,14831,1.09,541.2844037,706.4220183,1247.706422
14256919,Customer6,Driver68,Vehicle12,36.5,0,181.38,116.385489,92.62322196,209.008711
14256922,Customer6,Driver122,Vehicle14,6,0,26.855,77.45298827,70.00558555,147.4585738
14256923,Customer6,Driver59,Vehicle3,0.5,4429,0.385,441.5584416,233.7662338,675.3246753
14256935,Customer6,Driver59,Vehicle3,0.5,10436,0.33,1333.333333,727.2727273,2060.606061
14256937,Customer6,Driver59,Vehicle3,0,13062,0.39,461.5384615,358.974359,820.5128205
14256938,Customer6,Driver30,Vehicle13,0.5,0,0.585,341.8803419,427.3504274,769.2307692
14256939,Customer6,Driver59,Vehicle3,17,13010,37.265,116.9998658,108.1443714,225.1442372
14256940,Customer6,Driver122,Vehicle14,0,0,0.635,614.1732283,62.99212598,677.1653543
14256942,Customer6,Driver69,Vehicle4,5,4132,19.83,96.82299546,88.75441251,185.577408
14256943,Customer6,Driver122,Vehicle14,0.5,0,0.125,160,240,400
14256945,Customer6,Driver30,Vehicle13,12,0,42.47,123.8521309,121.4975277,245.3496586
14256949,Customer6,Driver122,Vehicle14,1,0,2.295,226.5795207,287.5816993,514.16122
14256953,Customer6,Driver122,Vehicle14,0.5,0,1.25,336,160,496
14256962,Customer6,Driver66,Vehicle11,14.5,0,54.745,134.0761713,134.2588364,268.3350078
14256964,Customer6,Driver30,Vehicle13,0.5,0,0.705,695.035461,765.9574468,1460.992908
14256970,Customer6,Driver122,Vehicle14,14,0,58.885,96.96866774,91.70416914,188.6728369
14256980,Customer6,Driver69,Vehicle4,7,13481,14.895,120.1745552,127.5595838,247.734139
14256985,Customer6,Driver59,Vehicle3,9.5,4395,36.15,104.2876902,107.6071923,211.8948824
14256992,Customer6,Driver122,Vehicle14,0,0,0.165,787.8787879,424.2424242,1212.121212
14256997,Customer6,Driver122,Vehicle14,0.5,0,0.66,1363.636364,469.6969697,1833.333333
14257000,Customer6,Driver179,Vehicle12,7,0,24.305,86.4019749,107.3853117,193.7872866
14257001,Customer6,Driver69,Vehicle4,0,13349,0.13,538.4615385,1461.538462,2000
14257002,Customer6,Driver122,Vehicle14,0.5,0,0.605,809.9173554,611.5702479,1421.487603
14257004,Customer6,Driver30,Vehicle13,64,0,266.77,74.55860854,76.50785321,151.0664617
14257011,Customer6,Driver122,Vehicle14,11,0,43.7,144.8512586,139.1304348,283.9816934
14257017,Customer6,Driver59,Vehicle3,0,4423,0.395,278.4810127,253.164557,531.6455696
14257018,Customer6,Driver179,Vehicle12,53,0,213.42,103.8328179,100.5060444,204.3388623
14257030,Customer6,Driver59,Vehicle3,0.5,11423,0.34,970.5882353,941.1764706,1911.764706
14257032,Customer6,Driver59,Vehicle3,0,13182,0.39,461.5384615,307.6923077,769.2307692
14257033,Customer6,Driver69,Vehicle4,3.5,4314,9.32,193.1330472,177.0386266,370.1716738
14257034,Customer6,Driver59,Vehicle3,16.5,13171,37.18,128.5637439,109.1984938,237.7622378
14257035,Customer6,Driver69,Vehicle4,0,4351,0.12,500,833.3333333,1333.333333
14257045,Customer6,Driver0,Vehicle11,0.5,0,0.655,534.351145,229.0076336,763.3587786
14257048,Customer6,Driver69,Vehicle4,5,4673,25.06,118.1165204,114.924182,233.0407023
14257060,Customer6,Driver0,Vehicle11,0,0,0.125,800,320,1120
14257062,Customer6,Driver69,Vehicle4,5.5,3938,22.2,132.8828829,124.3243243,257.2072072
14257063,Customer6,Driver0,Vehicle11,31.5,0,157.16,87.8086027,87.17230848,174.9809112
14257070,Customer6,Driver59,Vehicle3,3,4505,11.59,194.9956859,138.0500431,333.0457291
14257072,Customer6,Driver67,Vehicle14,53.5,0,252.83,72.93438279,74.9119962,147.846379
14257084,Customer6,Driver179,Vehicle12,8.5,0,25.35,188.9546351,206.3116371,395.2662722
14257085,Customer6,Driver69,Vehicle4,0.5,4196,0.92,402.173913,260.8695652,663.0434783
14257089,Customer6,Driver69,Vehicle4,11.5,4225,43.17,118.8325226,116.7477415,235.5802641
14257116,Customer6,Driver69,Vehicle4,0,4342,0.25,480,720,1200
14257119,Customer6,Driver69,Vehicle4,0,4590,0.115,1739.130435,173.9130435,1913.043478
14257121,Customer6,Driver69,Vehicle4,9,5754,27.76,132.925072,135.4466859,268.3717579
14257123,Customer6,Driver179,Vehicle12,6.5,0,26.52,188.9140271,183.2579186,372.1719457
14257125,Customer6,Driver0,Vehicle11,0,0,0.195,1128.205128,256.4102564,1384.615385
14257130,Customer6,Driver38,Vehicle15,1,0,3.18,147.7987421,210.6918239,358.490566
14257133,Customer6,Driver57,Vehicle3,78,5525,291.365,90.43639421,93.07912755,183.5155218
14257136,Customer6,Driver0,Vehicle11,0.5,0,1.31,488.5496183,244.2748092,732.8244275
14257143,Customer6,Driver0,Vehicle11,0.5,0,0.695,187.0503597,330.9352518,517.9856115
14257145,Customer6,Driver0,Vehicle11,0,0,0.605,479.338843,66.11570248,545.4545455
14257148,Customer6,Driver158,Vehicle4,49,5768,230.245,70.75072206,72.27084193,143.021564
14257153,Customer6,Driver38,Vehicle15,0.5,0,0.285,807.0175439,421.0526316,1228.070175
14257154,Customer6,Driver0,Vehicle11,0.5,0,0.925,291.8918919,237.8378378,529.7297297
14257167,Customer6,Driver38,Vehicle14,0,0,0.465,451.6129032,473.1182796,924.7311828
14257168,Customer6,Driver38,Vehicle14,0,0,0.525,666.6666667,304.7619048,971.4285714
14257169,Customer6,Driver179,Vehicle12,53,0,176.095,90.8032596,88.13424572,178.9375053
14257170,Customer6,Driver38,Vehicle14,70.5,0,309.875,69.35054457,72.64219443,141.992739
14257180,Customer6,Driver0,Vehicle11,35,0,183.75,85.71428571,85.93197279,171.6462585
14257204,Customer6,Driver158,Vehicle4,0.5,5634,1.04,490.3846154,605.7692308,1096.153846
14257206,Customer6,Driver67,Vehicle15,0,0,0.26,2423.076923,153.8461538,2576.923077
14257208,Customer6,Driver67,Vehicle15,0,0,0.05,800,200,1000
14257209,Customer6,Driver67,Vehicle15,45,0,172.285,82.94395914,81.60896189,164.552921
14257213,Customer6,Driver179,Vehicle12,27.5,0,89.885,100.3504478,93.45274517,193.803193
14257224,Customer6,Driver158,Vehicle4,0,6147,0.31,516.1290323,741.9354839,1258.064516
14257229,Customer6,Driver158,Vehicle4,18,6237,82.06,83.84109188,84.5722642,168.4133561
14257235,Customer6,Driver0,Vehicle11,6.5,0,29.82,103.6217304,118.3769282,221.9986586
14257250,Customer6,Driver179,Vehicle12,5.5,0,25.335,100.6512729,106.5719361,207.223209
14257251,Customer6,Driver67,Vehicle15,23,0,93.215,91.83071394,83.99935633,175.8300703
14257253,Customer6,Driver158,Vehicle4,10.5,6237,49.13,45.79686546,58.21290454,104.00977
14257254,Customer6,Driver0,Vehicle11,0.5,0,0.575,1008.695652,208.6956522,1217.391304
14257258,Customer6,Driver0,Vehicle11,0.5,0,0.87,459.7701149,287.3563218,747.1264368
14257272,Customer6,Driver0,Vehicle11,0,0,0.16,312.5,1500,1812.5
14257352,Customer6,Driver17,Vehicle23,12,0,42.835,90.58013307,84.74378429,175.3239174
14257368,Customer6,Driver17,Vehicle23,0.5,0,0.62,258.0645161,225.8064516,483.8709677
14257370,Customer6,Driver17,Vehicle23,0,0,0.725,275.862069,551.7241379,827.5862069
14257375,Customer6,Driver17,Vehicle23,1.5,0,2.83,342.7561837,293.2862191,636.0424028
14257379,Customer6,Driver17,Vehicle23,1,0,1.325,505.6603774,633.9622642,1139.622642
14257389,Customer6,Driver17,Vehicle23,1,0,2.115,222.2222222,274.2316785,496.4539007
14257390,Customer6,Driver17,Vehicle23,0.5,0,0.2,600,2550,3150
14257401,Customer6,Driver190,Vehicle23,0,0,0.085,352.9411765,941.1764706,1294.117647
14257410,Customer6,Driver190,Vehicle23,0,0,0.565,247.7876106,371.6814159,619.4690265
14257420,Customer6,Driver190,Vehicle23,3.5,0,6.08,228.6184211,223.6842105,452.3026316
14257432,Customer6,Driver190,Vehicle23,1,0,0.885,271.1864407,316.3841808,587.5706215
14257438,Customer6,Driver190,Vehicle23,2,0,5.36,156.7164179,152.9850746,309.7014925
14257453,Customer6,Driver190,Vehicle23,0,0,0.085,823.5294118,235.2941176,1058.823529
14257477,Customer6,Driver190,Vehicle23,0,0,0.425,329.4117647,282.3529412,611.7647059
14257479,Customer6,Driver190,Vehicle23,0,0,0.155,322.5806452,193.5483871,516.1290323
14257483,Customer6,Driver190,Vehicle23,0.5,0,0.71,169.0140845,70.42253521,239.4366197
14257492,Customer6,Driver190,Vehicle23,2,0,4.85,119.5876289,109.2783505,228.8659794
14257495,Customer6,Driver190,Vehicle23,0.5,0,0.675,474.0740741,444.4444444,918.5185185
14257506,Customer6,Driver190,Vehicle23,1.5,0,5.375,187.9069767,180.4651163,368.372093
14257513,Customer6,Driver190,Vehicle23,0,0,0.05,200,1400,1600
14257514,Customer6,Driver190,Vehicle23,0,0,0.605,363.6363636,33.05785124,396.6942149
14257521,Customer6,Driver190,Vehicle23,0.5,0,0.59,474.5762712,237.2881356,711.8644068
14257529,Customer6,Driver190,Vehicle23,0,0,0.09,1333.333333,555.5555556,1888.888889
14257531,Customer6,Driver190,Vehicle23,2.5,0,5.395,101.9462465,103.7998146,205.7460612
14257537,Customer6,Driver190,Vehicle23,3,0,6.155,141.3484972,120.2274574,261.5759545
14257543,Customer6,Driver190,Vehicle23,0,0,0.07,1000,142.8571429,1142.857143
14257544,Customer6,Driver190,Vehicle23,0.5,0,0.815,453.9877301,245.398773,699.3865031
14257551,Customer6,Driver190,Vehicle23,5.5,0,29.42,103.6709721,106.0503059,209.721278
14257560,Customer6,Driver190,Vehicle23,8.5,0,30.59,77.80320366,72.24583197,150.0490356
14257575,Customer6,Driver84,Vehicle23,72,0,311.67,72.19174126,74.66230308,146.8540443
14257620,Customer6,Driver78,Vehicle22,1,0,0.93,666.6666667,849.4623656,1516.129032
14257624,Customer6,Driver54,Vehicle26,8.5,0,27.6,80.43478261,78.62318841,159.057971
14257630,Customer6,Driver20,Vehicle22,8.5,0,28.55,155.1663748,166.0245184,321.1908932
14257633,Customer6,Driver54,Vehicle26,8,0,27.755,125.7431093,133.3093136,259.052423
14257638,Customer6,Driver20,Vehicle22,0,0,0.415,120.4819277,216.8674699,337.3493976
14257641,Customer6,Driver20,Vehicle22,0.5,0,0.405,641.9753086,24.69135802,666.6666667
14257644,Customer6,Driver20,Vehicle22,9,0,21.17,223.9017478,179.971658,403.8734058
14257648,Customer6,Driver20,Vehicle22,0.5,0,0.12,166.6666667,83.33333333,250
14257650,Customer6,Driver54,Vehicle26,8,0,27.595,95.30712086,89.14658453,184.4537054
14257654,Customer6,Driver20,Vehicle22,7,0,20.985,78.15106028,115.320467,193.4715273
14257655,Customer6,Driver20,Vehicle22,0,0,0.09,1222.222222,1000,2222.222222
14257656,Customer6,Driver20,Vehicle22,0,0,0.305,852.4590164,1573.770492,2426.229508
14257659,Customer6,Driver54,Vehicle26,7.5,0,27.72,80.08658009,77.2005772,157.2871573
14257667,Customer6,Driver20,Vehicle22,0.5,0,0.575,260.8695652,713.0434783,973.9130435
14257668,Customer6,Driver20,Vehicle22,10,0,21.16,160.6805293,129.489603,290.1701323
14257670,Customer6,Driver54,Vehicle26,7,0,27.58,93.18346628,98.98477157,192.1682379
14257671,Customer6,Driver20,Vehicle22,0,0,0.14,1357.142857,0,1357.142857
14257678,Customer6,Driver20,Vehicle22,6.5,0,20.96,144.5610687,126.9083969,271.4694656
14257681,Customer6,Driver54,Vehicle26,1,0,1.595,388.7147335,288.4012539,677.1159875
14257686,Customer6,Driver54,Vehicle26,8,0,30.675,96.16951915,90.30154849,186.4710676
14257692,Customer6,Driver20,Vehicle22,0.5,0,0.46,195.6521739,695.6521739,891.3043478
14257694,Customer6,Driver20,Vehicle22,10,0,21.18,135.9773371,101.9830028,237.9603399
14257705,Customer6,Driver53,Vehicle26,7,0,27.575,109.5194923,108.068903,217.5883953
14257706,Customer6,Driver20,Vehicle22,6.5,0,20.895,275.1854511,102.8954295,378.0808806
14257714,Customer6,Driver53,Vehicle26,7,0,28.645,93.90818642,83.43515448,177.3433409
14257719,Customer6,Driver20,Vehicle22,0.5,0,0.56,464.2857143,607.1428571,1071.428571
14257723,Customer6,Driver20,Vehicle22,10,0,20.59,147.158815,127.7319087,274.8907237
14257726,Customer6,Driver20,Vehicle22,0.5,0,0.46,695.6521739,1413.043478,2108.695652
14257729,Customer6,Driver20,Vehicle22,3.5,0,18.855,213.2060461,138.424821,351.6308671
14257730,Customer6,Driver53,Vehicle26,7,0,27.575,195.8295558,141.7951043,337.62466
14257740,Customer6,Driver53,Vehicle26,7,0,28.64,126.396648,111.0335196,237.4301676
14257748,Customer6,Driver53,Vehicle26,7.5,0,27.59,102.9358463,116.3465024,219.2823487
14257756,Customer6,Driver53,Vehicle26,6.5,0,28.65,132.9842932,122.8621291,255.8464223
14257767,Customer6,Driver123,Vehicle26,9,0,27.65,99.09584087,88.60759494,187.7034358
14257781,Customer6,Driver123,Vehicle26,7.5,0,27.65,103.4358047,103.074141,206.5099458
14257794,Customer6,Driver38,Vehicle14,20.5,0,93.84,74.16879795,79.92327366,154.0920716
14257795,Customer6,Driver67,Vehicle15,14,0,62.29,94.71825333,94.55771392,189.2759672
14257799,Customer6,Driver68,Vehicle12,0.5,0,0.28,1000,1142.857143,2142.857143
14257810,Customer6,Driver84,Vehicle23,45.5,0,174.365,88.43517908,79.08697273,167.5221518
14257823,Customer6,Driver123,Vehicle26,9,0,27.66,86.04483008,91.10629067,177.1511208
14257864,Customer6,Driver51,Vehicle27,70.5,0,226.155,113.3293538,110.3667838,223.6961376
14257880,Customer6,Driver24,Vehicle42,5.5,0,12.015,165.6263005,202.247191,367.8734915
14257889,Customer6,Driver24,Vehicle42,0.5,0,1.37,240.8759124,153.2846715,394.1605839
14257892,Customer6,Driver24,Vehicle42,0.5,0,0.245,1551.020408,734.6938776,2285.714286
14257901,Customer6,Driver24,Vehicle42,0.5,0,1.48,567.5675676,432.4324324,1000
14257909,Customer6,Driver24,Vehicle42,0,0,0.12,750,0,750
